
s0 -- fp_on   / 1,led_fp_on -> s1
s7 -- fp_on   / 1,1 -> s7
s7 -- m_pw_msg   / 1 -> s7
s7 -- receiveMsg   / pw_activated -> s15
s7 -- pw_but_dn   / fp_off,1 -> s1
s7 -- pw_but_up   / 1 -> s7
s7 -- key_pos_lock   / cls_lock -> s13
s7 -- pw_pos_up   / 1 -> s7
s7 -- fp_off   / 1,led_fp_off -> s4
s7 -- pw_pos_dn   / 1 -> s7
s7 -- key_pos_unlock   / 1 -> s7
s7 -- mpw_stop   / 1 -> s7
s7 -- finger_detected   / 1 -> s7
s8 -- fp_on   / 1,led_fp_on -> s12
s8 -- m_pw_msg   / m_pw_activated -> s16
s8 -- receiveMsg   / 1 -> s8
s8 -- pw_but_dn   / 1 -> s8
s8 -- pw_but_up   / 1 -> s8
s8 -- key_pos_lock   / 1 -> s8
s8 -- pw_pos_up   / 1 -> s8
s8 -- fp_off   / 1,1 -> s8
s8 -- pw_pos_dn   / 1 -> s8
s8 -- key_pos_unlock   / cls_unlock -> s3
s8 -- mpw_stop   / 1 -> s8
s8 -- finger_detected   / fp_on -> s17
s9 -- fp_on   / 1,led_fp_on -> s13
s9 -- m_pw_msg   / 1 -> s9
s9 -- receiveMsg   / pw_activated -> s17
s9 -- pw_but_dn   / fp_off,1 -> s2
s9 -- pw_but_up   / 1 -> s9
s9 -- key_pos_lock   / 1 -> s9
s9 -- pw_pos_up   / 1 -> s9
s9 -- fp_off   / 1,1 -> s9
s9 -- pw_pos_dn   / 1 -> s9
s9 -- key_pos_unlock   / cls_unlock -> s4
s9 -- mpw_stop   / 1 -> s9
s9 -- finger_detected   / 1 -> s9
s10 -- fp_on   / 1,led_fp_on -> s14
s10 -- m_pw_msg   / 1 -> s10
s10 -- receiveMsg   / 1 -> s10
s10 -- pw_but_dn   / 1,pw_mv_dn -> s18
s10 -- pw_but_up   / 1 -> s10
s10 -- key_pos_lock   / cls_lock -> s16
s10 -- pw_pos_up   / 1 -> s10
s10 -- fp_off   / 1,1 -> s10
s10 -- pw_pos_dn   / 1 -> s10
s10 -- key_pos_unlock   / 1 -> s10
s10 -- mpw_stop   / pw_inactivated -> s0
s10 -- finger_detected   / fp_on -> s19
s11 -- fp_on   / 1,led_fp_on -> s15
s11 -- m_pw_msg   / m_pw_activated -> s19
s11 -- receiveMsg   / 1 -> s11
s11 -- pw_but_dn   / fp_off,1 -> s3
s11 -- pw_but_up   / 1 -> s11
s11 -- key_pos_lock   / cls_lock -> s17
s11 -- pw_pos_up   / 1 -> s11
s11 -- fp_off   / 1,1 -> s11
s11 -- pw_pos_dn   / 1 -> s11
s11 -- key_pos_unlock   / 1 -> s11
s11 -- mpw_stop   / 1 -> s11
s11 -- finger_detected   / 1 -> s11
s12 -- fp_on   / 1,1 -> s12
s12 -- m_pw_msg   / m_pw_activated -> s20
s12 -- receiveMsg   / 1 -> s12
s12 -- pw_but_dn   / 1 -> s12
s12 -- pw_but_up   / 1 -> s12
s12 -- key_pos_lock   / 1 -> s12
s12 -- pw_pos_up   / 1 -> s12
s12 -- fp_off   / 1,led_fp_off -> s8
s12 -- pw_pos_dn   / 1 -> s12
s12 -- key_pos_unlock   / cls_unlock -> s6
s12 -- mpw_stop   / 1 -> s12
s12 -- finger_detected   / fp_on -> s21
s13 -- fp_on   / 1,1 -> s13
s13 -- m_pw_msg   / 1 -> s13
s13 -- receiveMsg   / pw_activated -> s21
s13 -- pw_but_dn   / fp_off,1 -> s5
s13 -- pw_but_up   / 1 -> s13
s13 -- key_pos_lock   / 1 -> s13
s13 -- pw_pos_up   / 1 -> s13
s13 -- fp_off   / 1,led_fp_off -> s9
s13 -- pw_pos_dn   / 1 -> s13
s13 -- key_pos_unlock   / cls_unlock -> s7
s13 -- mpw_stop   / 1 -> s13
s13 -- finger_detected   / 1 -> s13
s14 -- fp_on   / 1,1 -> s14
s14 -- m_pw_msg   / 1 -> s14
s14 -- receiveMsg   / 1 -> s14
s14 -- pw_but_dn   / 1,pw_mv_dn -> s22
s14 -- pw_but_up   / 1 -> s14
s14 -- key_pos_lock   / cls_lock -> s20
s14 -- pw_pos_up   / 1 -> s14
s14 -- fp_off   / 1,led_fp_off -> s10
s14 -- pw_pos_dn   / 1 -> s14
s14 -- key_pos_unlock   / 1 -> s14
s14 -- mpw_stop   / pw_inactivated -> s1
s14 -- finger_detected   / fp_on -> s23
s15 -- fp_on   / 1,1 -> s15
s15 -- m_pw_msg   / m_pw_activated -> s23
s15 -- receiveMsg   / 1 -> s15
s15 -- pw_but_dn   / fp_off,1 -> s6
s15 -- pw_but_up   / 1 -> s15
s15 -- key_pos_lock   / cls_lock -> s21
s15 -- pw_pos_up   / 1 -> s15
s15 -- fp_off   / 1,led_fp_off -> s11
s15 -- pw_pos_dn   / 1 -> s15
s15 -- key_pos_unlock   / 1 -> s15
s15 -- mpw_stop   / 1 -> s15
s15 -- finger_detected   / 1 -> s15
s16 -- fp_on   / 1,led_fp_on -> s20
s16 -- m_pw_msg   / 1 -> s16
s16 -- receiveMsg   / 1 -> s16
s16 -- pw_but_dn   / 1,pw_mv_dn -> s24
s16 -- pw_but_up   / 1 -> s16
s16 -- key_pos_lock   / 1 -> s16
s16 -- pw_pos_up   / 1 -> s16
s16 -- fp_off   / 1,1 -> s16
s16 -- pw_pos_dn   / 1 -> s16
s16 -- key_pos_unlock   / cls_unlock -> s10
s16 -- mpw_stop   / pw_inactivated -> s2
s16 -- finger_detected   / fp_on -> s25
s17 -- fp_on   / 1,led_fp_on -> s21
s17 -- m_pw_msg   / m_pw_activated -> s25
s17 -- receiveMsg   / 1 -> s17
s17 -- pw_but_dn   / fp_off,1 -> s8
s17 -- pw_but_up   / 1 -> s17
s17 -- key_pos_lock   / 1 -> s17
s17 -- pw_pos_up   / 1 -> s17
s17 -- fp_off   / 1,1 -> s17
s17 -- pw_pos_dn   / 1 -> s17
s17 -- key_pos_unlock   / cls_unlock -> s11
s17 -- mpw_stop   / 1 -> s17
s17 -- finger_detected   / 1 -> s17
s18 -- fp_on   / 1,led_fp_on -> s22
s18 -- m_pw_msg   / 1 -> s18
s18 -- receiveMsg   / 1 -> s18
s18 -- pw_but_dn   / 1,pw_mv_dn -> s18
s18 -- pw_but_up   / pw_mv_up -> s26
s18 -- key_pos_lock   / cls_lock -> s24
s18 -- pw_pos_up   / 1 -> s18
s18 -- fp_off   / 1,1 -> s18
s18 -- pw_pos_dn   / pw_mv_stop -> s27
s18 -- key_pos_unlock   / 1 -> s18
s18 -- mpw_stop   / 1 -> s18
s18 -- finger_detected   / fp_on -> s28
s19 -- fp_on   / 1,led_fp_on -> s23
s19 -- m_pw_msg   / 1 -> s19
s19 -- receiveMsg   / 1 -> s19
s19 -- pw_but_dn   / fp_off,pw_mv_dn -> s18
s19 -- pw_but_up   / 1 -> s19
s19 -- key_pos_lock   / cls_lock -> s25
s19 -- pw_pos_up   / 1 -> s19
s19 -- fp_off   / 1,1 -> s19
s19 -- pw_pos_dn   / 1 -> s19
s19 -- key_pos_unlock   / 1 -> s19
s19 -- mpw_stop   / pw_inactivated -> s4
s19 -- finger_detected   / 1 -> s19
s20 -- fp_on   / 1,1 -> s20
s20 -- m_pw_msg   / 1 -> s20
s20 -- receiveMsg   / 1 -> s20
s20 -- pw_but_dn   / 1,pw_mv_dn -> s29
s20 -- pw_but_up   / 1 -> s20
s20 -- key_pos_lock   / 1 -> s20
s20 -- pw_pos_up   / 1 -> s20
s20 -- fp_off   / 1,led_fp_off -> s16
s20 -- pw_pos_dn   / 1 -> s20
s20 -- key_pos_unlock   / cls_unlock -> s14
s20 -- mpw_stop   / pw_inactivated -> s5
s20 -- finger_detected   / fp_on -> s30
s21 -- fp_on   / 1,1 -> s21
s21 -- m_pw_msg   / m_pw_activated -> s30
s21 -- receiveMsg   / 1 -> s21
s21 -- pw_but_dn   / fp_off,1 -> s12
s21 -- pw_but_up   / 1 -> s21
s21 -- key_pos_lock   / 1 -> s21
s21 -- pw_pos_up   / 1 -> s21
s21 -- fp_off   / 1,led_fp_off -> s17
s21 -- pw_pos_dn   / 1 -> s21
s21 -- key_pos_unlock   / cls_unlock -> s15
s21 -- mpw_stop   / 1 -> s21
s21 -- finger_detected   / 1 -> s21
s22 -- fp_on   / 1,1 -> s22
s22 -- m_pw_msg   / 1 -> s22
s22 -- receiveMsg   / 1 -> s22
s22 -- pw_but_dn   / 1,pw_mv_dn -> s22
s22 -- pw_but_up   / pw_mv_up -> s31
s22 -- key_pos_lock   / cls_lock -> s29
s22 -- pw_pos_up   / 1 -> s22
s22 -- fp_off   / 1,led_fp_off -> s18
s22 -- pw_pos_dn   / pw_mv_stop -> s32
s22 -- key_pos_unlock   / 1 -> s22
s22 -- mpw_stop   / 1 -> s22
s22 -- finger_detected   / fp_on -> s33
s23 -- fp_on   / 1,1 -> s23
s23 -- m_pw_msg   / 1 -> s23
s23 -- receiveMsg   / 1 -> s23
s23 -- pw_but_dn   / fp_off,pw_mv_dn -> s22
s23 -- pw_but_up   / 1 -> s23
s23 -- key_pos_lock   / cls_lock -> s30
s23 -- pw_pos_up   / 1 -> s23
s23 -- fp_off   / 1,led_fp_off -> s19
s23 -- pw_pos_dn   / 1 -> s23
s23 -- key_pos_unlock   / 1 -> s23
s23 -- mpw_stop   / pw_inactivated -> s7
s23 -- finger_detected   / 1 -> s23
s24 -- fp_on   / 1,led_fp_on -> s29
s24 -- m_pw_msg   / 1 -> s24
s24 -- receiveMsg   / 1 -> s24
s24 -- pw_but_dn   / 1,pw_mv_dn -> s24
s24 -- pw_but_up   / pw_mv_up -> s34
s24 -- key_pos_lock   / 1 -> s24
s24 -- pw_pos_up   / 1 -> s24
s24 -- fp_off   / 1,1 -> s24
s24 -- pw_pos_dn   / pw_mv_stop -> s35
s24 -- key_pos_unlock   / cls_unlock -> s18
s24 -- mpw_stop   / 1 -> s24
s24 -- finger_detected   / fp_on -> s36
s25 -- fp_on   / 1,led_fp_on -> s30
s25 -- m_pw_msg   / 1 -> s25
s25 -- receiveMsg   / 1 -> s25
s25 -- pw_but_dn   / fp_off,pw_mv_dn -> s24
s25 -- pw_but_up   / 1 -> s25
s25 -- key_pos_lock   / 1 -> s25
s25 -- pw_pos_up   / 1 -> s25
s25 -- fp_off   / 1,1 -> s25
s25 -- pw_pos_dn   / 1 -> s25
s25 -- key_pos_unlock   / cls_unlock -> s19
s25 -- mpw_stop   / pw_inactivated -> s9
s25 -- finger_detected   / 1 -> s25
s26 -- fp_on   / pw_mv_stop,led_fp_on -> s37
s26 -- m_pw_msg   / 1 -> s26
s26 -- receiveMsg   / 1 -> s26
s26 -- pw_but_dn   / 1,pw_mv_dn -> s18
s26 -- pw_but_up   / pw_mv_up -> s26
s26 -- key_pos_lock   / cls_lock -> s34
s26 -- pw_pos_up   / pw_mv_stop -> s10
s26 -- fp_off   / 1,1 -> s26
s26 -- pw_pos_dn   / 1 -> s26
s26 -- key_pos_unlock   / 1 -> s26
s26 -- mpw_stop   / 1 -> s26
s26 -- finger_detected   / fp_on -> s38
s27 -- fp_on   / 1,led_fp_on -> s32
s27 -- m_pw_msg   / 1 -> s27
s27 -- receiveMsg   / 1 -> s27
s27 -- pw_but_dn   / 1 -> s27
s27 -- pw_but_up   / pw_mv_up -> s26
s27 -- key_pos_lock   / cls_lock -> s35
s27 -- pw_pos_up   / 1 -> s27
s27 -- fp_off   / 1,1 -> s27
s27 -- pw_pos_dn   / 1 -> s27
s27 -- key_pos_unlock   / 1 -> s27
s27 -- mpw_stop   / 1 -> s27
s27 -- finger_detected   / fp_on -> s39
s28 -- fp_on   / 1,led_fp_on -> s33
s28 -- m_pw_msg   / 1 -> s28
s28 -- receiveMsg   / 1 -> s28
s28 -- pw_but_dn   / fp_off,pw_mv_dn -> s18
s28 -- pw_but_up   / pw_mv_up -> s38
s28 -- key_pos_lock   / cls_lock -> s36
s28 -- pw_pos_up   / 1 -> s28
s28 -- fp_off   / 1,1 -> s28
s28 -- pw_pos_dn   / pw_mv_stop -> s39
s28 -- key_pos_unlock   / 1 -> s28
s28 -- mpw_stop   / 1 -> s28
s28 -- finger_detected   / 1 -> s28
s29 -- fp_on   / 1,1 -> s29
s29 -- m_pw_msg   / 1 -> s29
s29 -- receiveMsg   / 1 -> s29
s29 -- pw_but_dn   / 1,pw_mv_dn -> s29
s29 -- pw_but_up   / pw_mv_up -> s40
s29 -- key_pos_lock   / 1 -> s29
s29 -- pw_pos_up   / 1 -> s29
s29 -- fp_off   / 1,led_fp_off -> s24
s29 -- pw_pos_dn   / pw_mv_stop -> s41
s29 -- key_pos_unlock   / cls_unlock -> s22
s29 -- mpw_stop   / 1 -> s29
s29 -- finger_detected   / fp_on -> s42
s30 -- fp_on   / 1,1 -> s30
s30 -- m_pw_msg   / 1 -> s30
s30 -- receiveMsg   / 1 -> s30
s30 -- pw_but_dn   / fp_off,pw_mv_dn -> s29
s30 -- pw_but_up   / 1 -> s30
s30 -- key_pos_lock   / 1 -> s30
s30 -- pw_pos_up   / 1 -> s30
s30 -- fp_off   / 1,led_fp_off -> s25
s30 -- pw_pos_dn   / 1 -> s30
s30 -- key_pos_unlock   / cls_unlock -> s23
s30 -- mpw_stop   / pw_inactivated -> s13
s30 -- finger_detected   / 1 -> s30
s31 -- fp_on   / pw_mv_stop,1 -> s37
s31 -- m_pw_msg   / 1 -> s31
s31 -- receiveMsg   / 1 -> s31
s31 -- pw_but_dn   / 1,pw_mv_dn -> s22
s31 -- pw_but_up   / pw_mv_up -> s31
s31 -- key_pos_lock   / cls_lock -> s40
s31 -- pw_pos_up   / pw_mv_stop -> s14
s31 -- fp_off   / 1,led_fp_off -> s26
s31 -- pw_pos_dn   / 1 -> s31
s31 -- key_pos_unlock   / 1 -> s31
s31 -- mpw_stop   / 1 -> s31
s31 -- finger_detected   / fp_on -> s43
s32 -- fp_on   / 1,1 -> s32
s32 -- m_pw_msg   / 1 -> s32
s32 -- receiveMsg   / 1 -> s32
s32 -- pw_but_dn   / 1 -> s32
s32 -- pw_but_up   / pw_mv_up -> s31
s32 -- key_pos_lock   / cls_lock -> s41
s32 -- pw_pos_up   / 1 -> s32
s32 -- fp_off   / 1,led_fp_off -> s27
s32 -- pw_pos_dn   / 1 -> s32
s32 -- key_pos_unlock   / 1 -> s32
s32 -- mpw_stop   / 1 -> s32
s32 -- finger_detected   / fp_on -> s44
s33 -- fp_on   / 1,1 -> s33
s33 -- m_pw_msg   / 1 -> s33
s33 -- receiveMsg   / 1 -> s33
s33 -- pw_but_dn   / fp_off,pw_mv_dn -> s22
s33 -- pw_but_up   / pw_mv_up -> s43
s33 -- key_pos_lock   / cls_lock -> s42
s33 -- pw_pos_up   / 1 -> s33
s33 -- fp_off   / 1,led_fp_off -> s28
s33 -- pw_pos_dn   / pw_mv_stop -> s44
s33 -- key_pos_unlock   / 1 -> s33
s33 -- mpw_stop   / 1 -> s33
s33 -- finger_detected   / 1 -> s33
s34 -- fp_on   / pw_mv_stop,led_fp_on -> s45
s34 -- m_pw_msg   / 1 -> s34
s34 -- receiveMsg   / 1 -> s34
s34 -- pw_but_dn   / 1,pw_mv_dn -> s24
s34 -- pw_but_up   / pw_mv_up -> s34
s34 -- key_pos_lock   / 1 -> s34
s34 -- pw_pos_up   / pw_mv_stop -> s16
s34 -- fp_off   / 1,1 -> s34
s34 -- pw_pos_dn   / 1 -> s34
s34 -- key_pos_unlock   / cls_unlock -> s26
s34 -- mpw_stop   / 1 -> s34
s34 -- finger_detected   / fp_on -> s46
s35 -- fp_on   / 1,led_fp_on -> s41
s35 -- m_pw_msg   / 1 -> s35
s35 -- receiveMsg   / 1 -> s35
s35 -- pw_but_dn   / 1 -> s35
s35 -- pw_but_up   / pw_mv_up -> s34
s35 -- key_pos_lock   / 1 -> s35
s35 -- pw_pos_up   / 1 -> s35
s35 -- fp_off   / 1,1 -> s35
s35 -- pw_pos_dn   / 1 -> s35
s35 -- key_pos_unlock   / cls_unlock -> s27
s35 -- mpw_stop   / 1 -> s35
s35 -- finger_detected   / fp_on -> s47
s36 -- fp_on   / 1,led_fp_on -> s42
s36 -- m_pw_msg   / 1 -> s36
s36 -- receiveMsg   / 1 -> s36
s36 -- pw_but_dn   / fp_off,pw_mv_dn -> s24
s36 -- pw_but_up   / pw_mv_up -> s46
s36 -- key_pos_lock   / 1 -> s36
s36 -- pw_pos_up   / 1 -> s36
s36 -- fp_off   / 1,1 -> s36
s36 -- pw_pos_dn   / pw_mv_stop -> s47
s36 -- key_pos_unlock   / cls_unlock -> s28
s36 -- mpw_stop   / 1 -> s36
s36 -- finger_detected   / 1 -> s36
s37 -- fp_on   / 1,1 -> s37
s37 -- m_pw_msg   / 1 -> s37
s37 -- receiveMsg   / 1 -> s37
s37 -- pw_but_dn   / 1 -> s37
s37 -- pw_but_up   / 1 -> s37
s37 -- key_pos_lock   / cls_lock -> s45
s37 -- pw_pos_up   / 1 -> s37
s37 -- fp_off   / pw_mv_dn,led_fp_off -> s18
s37 -- pw_pos_dn   / 1 -> s37
s37 -- key_pos_unlock   / 1 -> s37
s37 -- mpw_stop   / 1 -> s37
s37 -- finger_detected   / fp_on -> s48
s38 -- fp_on   / pw_mv_stop,led_fp_on -> s48
s38 -- m_pw_msg   / 1 -> s38
s38 -- receiveMsg   / 1 -> s38
s38 -- pw_but_dn   / fp_off,pw_mv_dn -> s18
s38 -- pw_but_up   / pw_mv_up -> s38
s38 -- key_pos_lock   / cls_lock -> s46
s38 -- pw_pos_up   / pw_mv_stop -> s19
s38 -- fp_off   / 1,1 -> s38
s38 -- pw_pos_dn   / 1 -> s38
s38 -- key_pos_unlock   / 1 -> s38
s38 -- mpw_stop   / 1 -> s38
s38 -- finger_detected   / 1 -> s38
s39 -- fp_on   / 1,led_fp_on -> s44
s39 -- m_pw_msg   / 1 -> s39
s39 -- receiveMsg   / 1 -> s39
s39 -- pw_but_dn   / fp_off,1 -> s27
s39 -- pw_but_up   / pw_mv_up -> s38
s39 -- key_pos_lock   / cls_lock -> s47
s39 -- pw_pos_up   / 1 -> s39
s39 -- fp_off   / 1,1 -> s39
s39 -- pw_pos_dn   / 1 -> s39
s39 -- key_pos_unlock   / 1 -> s39
s39 -- mpw_stop   / 1 -> s39
s39 -- finger_detected   / 1 -> s39
s40 -- fp_on   / pw_mv_stop,1 -> s45
s40 -- m_pw_msg   / 1 -> s40
s40 -- receiveMsg   / 1 -> s40
s40 -- pw_but_dn   / 1,pw_mv_dn -> s29
s40 -- pw_but_up   / pw_mv_up -> s40
s40 -- key_pos_lock   / 1 -> s40
s40 -- pw_pos_up   / pw_mv_stop -> s20
s40 -- fp_off   / 1,led_fp_off -> s34
s40 -- pw_pos_dn   / 1 -> s40
s40 -- key_pos_unlock   / cls_unlock -> s31
s40 -- mpw_stop   / 1 -> s40
s40 -- finger_detected   / fp_on -> s49
s41 -- fp_on   / 1,1 -> s41
s41 -- m_pw_msg   / 1 -> s41
s41 -- receiveMsg   / 1 -> s41
s41 -- pw_but_dn   / 1 -> s41
s41 -- pw_but_up   / pw_mv_up -> s40
s41 -- key_pos_lock   / 1 -> s41
s41 -- pw_pos_up   / 1 -> s41
s41 -- fp_off   / 1,led_fp_off -> s35
s41 -- pw_pos_dn   / 1 -> s41
s41 -- key_pos_unlock   / cls_unlock -> s32
s41 -- mpw_stop   / 1 -> s41
s41 -- finger_detected   / fp_on -> s50
s42 -- fp_on   / 1,1 -> s42
s42 -- m_pw_msg   / 1 -> s42
s42 -- receiveMsg   / 1 -> s42
s42 -- pw_but_dn   / fp_off,pw_mv_dn -> s29
s42 -- pw_but_up   / pw_mv_up -> s49
s42 -- key_pos_lock   / 1 -> s42
s42 -- pw_pos_up   / 1 -> s42
s42 -- fp_off   / 1,led_fp_off -> s36
s42 -- pw_pos_dn   / pw_mv_stop -> s50
s42 -- key_pos_unlock   / cls_unlock -> s33
s42 -- mpw_stop   / 1 -> s42
s42 -- finger_detected   / 1 -> s42
s43 -- fp_on   / pw_mv_stop,1 -> s48
s43 -- m_pw_msg   / 1 -> s43
s43 -- receiveMsg   / 1 -> s43
s43 -- pw_but_dn   / fp_off,pw_mv_dn -> s22
s43 -- pw_but_up   / pw_mv_up -> s43
s43 -- key_pos_lock   / cls_lock -> s49
s43 -- pw_pos_up   / pw_mv_stop -> s23
s43 -- fp_off   / 1,led_fp_off -> s38
s43 -- pw_pos_dn   / 1 -> s43
s43 -- key_pos_unlock   / 1 -> s43
s43 -- mpw_stop   / 1 -> s43
s43 -- finger_detected   / 1 -> s43
s44 -- fp_on   / 1,1 -> s44
s44 -- m_pw_msg   / 1 -> s44
s44 -- receiveMsg   / 1 -> s44
s44 -- pw_but_dn   / fp_off,1 -> s32
s44 -- pw_but_up   / pw_mv_up -> s43
s44 -- key_pos_lock   / cls_lock -> s50
s44 -- pw_pos_up   / 1 -> s44
s44 -- fp_off   / 1,led_fp_off -> s39
s44 -- pw_pos_dn   / 1 -> s44
s44 -- key_pos_unlock   / 1 -> s44
s44 -- mpw_stop   / 1 -> s44
s44 -- finger_detected   / 1 -> s44
s45 -- fp_on   / 1,1 -> s45
s45 -- m_pw_msg   / 1 -> s45
s45 -- receiveMsg   / 1 -> s45
s45 -- pw_but_dn   / 1 -> s45
s45 -- pw_but_up   / 1 -> s45
s45 -- key_pos_lock   / 1 -> s45
s45 -- pw_pos_up   / 1 -> s45
s45 -- fp_off   / pw_mv_dn,led_fp_off -> s24
s45 -- pw_pos_dn   / 1 -> s45
s45 -- key_pos_unlock   / cls_unlock -> s37
s45 -- mpw_stop   / 1 -> s45
s45 -- finger_detected   / fp_on -> s51
s46 -- fp_on   / pw_mv_stop,led_fp_on -> s51
s46 -- m_pw_msg   / 1 -> s46
s46 -- receiveMsg   / 1 -> s46
s46 -- pw_but_dn   / fp_off,pw_mv_dn -> s24
s46 -- pw_but_up   / pw_mv_up -> s46
s46 -- key_pos_lock   / 1 -> s46
s46 -- pw_pos_up   / pw_mv_stop -> s25
s46 -- fp_off   / 1,1 -> s46
s46 -- pw_pos_dn   / 1 -> s46
s46 -- key_pos_unlock   / cls_unlock -> s38
s46 -- mpw_stop   / 1 -> s46
s46 -- finger_detected   / 1 -> s46
s47 -- fp_on   / 1,led_fp_on -> s50
s47 -- m_pw_msg   / 1 -> s47
s47 -- receiveMsg   / 1 -> s47
s47 -- pw_but_dn   / fp_off,1 -> s35
s47 -- pw_but_up   / pw_mv_up -> s46
s47 -- key_pos_lock   / 1 -> s47
s47 -- pw_pos_up   / 1 -> s47
s47 -- fp_off   / 1,1 -> s47
s47 -- pw_pos_dn   / 1 -> s47
s47 -- key_pos_unlock   / cls_unlock -> s39
s47 -- mpw_stop   / 1 -> s47
s47 -- finger_detected   / 1 -> s47
s48 -- fp_on   / 1,1 -> s48
s48 -- m_pw_msg   / 1 -> s48
s48 -- receiveMsg   / 1 -> s48
s48 -- pw_but_dn   / fp_off,1 -> s37
s48 -- pw_but_up   / 1 -> s48
s48 -- key_pos_lock   / cls_lock -> s51
s48 -- pw_pos_up   / 1 -> s48
s48 -- fp_off   / pw_mv_dn,led_fp_off -> s28
s48 -- pw_pos_dn   / 1 -> s48
s48 -- key_pos_unlock   / 1 -> s48
s48 -- mpw_stop   / 1 -> s48
s48 -- finger_detected   / 1 -> s48
s49 -- fp_on   / pw_mv_stop,1 -> s51
s49 -- m_pw_msg   / 1 -> s49
s49 -- receiveMsg   / 1 -> s49
s49 -- pw_but_dn   / fp_off,pw_mv_dn -> s29
s49 -- pw_but_up   / pw_mv_up -> s49
s49 -- key_pos_lock   / 1 -> s49
s49 -- pw_pos_up   / pw_mv_stop -> s30
s49 -- fp_off   / 1,led_fp_off -> s46
s49 -- pw_pos_dn   / 1 -> s49
s49 -- key_pos_unlock   / cls_unlock -> s43
s49 -- mpw_stop   / 1 -> s49
s49 -- finger_detected   / 1 -> s49
s50 -- fp_on   / 1,1 -> s50
s50 -- m_pw_msg   / 1 -> s50
s50 -- receiveMsg   / 1 -> s50
s50 -- pw_but_dn   / fp_off,1 -> s41
