Low	High	MinePumpSys	WaterRegulation
s3 -- setRunning/1 -> s3
s3 -- lowLevel/1 -> s3
s3 -- isRunning/0 -> s5
s3 -- end/1 -> s3
s3 -- isLowStop/0 -> s6
s3 -- pumpStart/1 -> s3
s4 -- setReady/1 -> s4
s4 -- highLevel/1 -> s4
s4 -- isStopped/1 -> s4
s4 -- isNotRunning/0 -> s5
s4 -- pumpStop/1 -> s4
s4 -- receiveMsg/1 -> s4
s4 -- isReady/1 -> s4
s4 -- setLowStop/1 -> s4
s4 -- isNotReady/1 -> s4
s4 -- levelMsg/1 -> s4
s4 -- setRunning/1 -> s4
s4 -- lowLevel/1 -> s4
s4 -- isRunning/0 -> s7
s4 -- end/1 -> s4
s4 -- isLowStop/1 -> s4
s4 -- pumpStart/1 -> s4
s5 -- setReady/1 -> s5
s5 -- highLevel/1 -> s5
s5 -- isStopped/1 -> s5
s5 -- isNotRunning/1 -> s5
s5 -- pumpStop/1 -> s5
s5 -- receiveMsg/1 -> s5
s5 -- isReady/1 -> s5
s5 -- setLowStop/1 -> s5
s5 -- isNotReady/1 -> s5
s5 -- levelMsg/1 -> s5
s5 -- setRunning/1 -> s5
s5 -- lowLevel/1 -> s5
s5 -- isRunning/1 -> s5
s5 -- end/0 -> s0
s5 -- isLowStop/1 -> s5
s5 -- pumpStart/1 -> s5
s6 -- setReady/0 -> s8
s6 -- highLevel/1 -> s6
s6 -- isStopped/1 -> s6
s6 -- isNotRunning/1 -> s6
s6 -- pumpStop/1 -> s6
s6 -- receiveMsg/1 -> s6
s6 -- isReady/1 -> s6
s6 -- setLowStop/1 -> s6
s6 -- isNotReady/1 -> s6
s6 -- levelMsg/1 -> s6
s6 -- setRunning/1 -> s6
s6 -- lowLevel/1 -> s6
s6 -- isRunning/1 -> s6
s6 -- end/1 -> s6
s6 -- isLowStop/1 -> s6
s6 -- pumpStart/1 -> s6
s7 -- setReady/1 -> s7
s7 -- highLevel/1 -> s7
s7 -- isStopped/1 -> s7
s7 -- isNotRunning/1 -> s7
s7 -- pumpStop/0 -> s9
s7 -- receiveMsg/1 -> s7
s7 -- isReady/1 -> s7
s7 -- setLowStop/1 -> s7
s7 -- isNotReady/1 -> s7
s7 -- levelMsg/1 -> s7
s7 -- setRunning/1 -> s7
s7 -- lowLevel/1 -> s7
s7 -- isRunning/1 -> s7
s7 -- end/1 -> s7
s7 -- isLowStop/1 -> s7
s7 -- pumpStart/1 -> s7
s8 -- setReady/1 -> s8
s8 -- highLevel/1 -> s8
s8 -- isStopped/1 -> s8
s8 -- isNotRunning/1 -> s8
s8 -- pumpStop/1 -> s8
s8 -- receiveMsg/1 -> s8
s8 -- isReady/0 -> s10
s8 -- setLowStop/1 -> s8
s8 -- isNotReady/0 -> s5
s8 -- levelMsg/1 -> s8
s8 -- setRunning/1 -> s8
s8 -- lowLevel/1 -> s8
s8 -- isRunning/1 -> s8
s8 -- end/1 -> s8
s8 -- isLowStop/1 -> s8
s8 -- pumpStart/1 -> s8
s9 -- setReady/1 -> s9
s9 -- highLevel/1 -> s9
s9 -- isStopped/1 -> s9
s9 -- isNotRunning/1 -> s9
s9 -- pumpStop/1 -> s9
s9 -- receiveMsg/1 -> s9
s9 -- isReady/1 -> s9
s9 -- setLowStop/0 -> s5
s9 -- isNotReady/1 -> s9
s9 -- levelMsg/1 -> s9
s9 -- setRunning/1 -> s9
s9 -- lowLevel/1 -> s9
s9 -- isRunning/1 -> s9
s9 -- end/1 -> s9
s9 -- isLowStop/1 -> s9
s9 -- pumpStart/1 -> s9
s10 -- setReady/1 -> s10
s10 -- highLevel/1 -> s10
s10 -- isStopped/1 -> s10
s10 -- isNotRunning/1 -> s10
s10 -- pumpStop/1 -> s10
s10 -- receiveMsg/1 -> s10
s10 -- isReady/1 -> s10
s10 -- setLowStop/1 -> s10
s10 -- isNotReady/1 -> s10
s10 -- levelMsg/1 -> s10
s10 -- setRunning/1 -> s10
s10 -- lowLevel/1 -> s10
s10 -- isRunning/1 -> s10
s10 -- end/1 -> s10
s10 -- isLowStop/1 -> s10
s10 -- pumpStart/0 -> s11
s11 -- setReady/1 -> s11
s11 -- highLevel/1 -> s11
s11 -- isStopped/1 -> s11
s11 -- isNotRunning/1 -> s11
s11 -- pumpStop/1 -> s11
s11 -- receiveMsg/1 -> s11
s11 -- isReady/1 -> s11
s11 -- setLowStop/1 -> s11
s11 -- isNotReady/1 -> s11
s11 -- levelMsg/1 -> s11
s11 -- setRunning/0 -> s5
s11 -- lowLevel/1 -> s11
s11 -- isRunning/1 -> s11
s11 -- end/1 -> s11
s11 -- isLowStop/1 -> s11
s11 -- pumpStart/1 -> s11
