High	MinePumpSys	Command	Start	WaterRegulation
s4 -- isStopped/1 -> s4
s4 -- isNotRunning/0 -> s6
s4 -- startCmd/1 -> s4
s4 -- receiveMsg/1 -> s4
s4 -- isReady/0 -> s7
s4 -- commandMsg/1 -> s4
s4 -- isNotReady/1 -> s4
s4 -- levelMsg/1 -> s4
s4 -- setRunning/1 -> s4
s4 -- isRunning/0 -> s7
s4 -- end/1 -> s4
s4 -- pumpStart/1 -> s4
s5 -- setReady/1 -> s5
s5 -- highLevel/1 -> s5
s5 -- isStopped/0 -> s7
s5 -- isNotRunning/1 -> s5
s5 -- startCmd/1 -> s5
s5 -- receiveMsg/1 -> s5
s5 -- isReady/0 -> s8
s5 -- commandMsg/1 -> s5
s5 -- isNotReady/1 -> s5
s5 -- levelMsg/1 -> s5
s5 -- setRunning/1 -> s5
s5 -- isRunning/0 -> s7
s5 -- end/1 -> s5
s5 -- pumpStart/1 -> s5
s6 -- setReady/0 -> s7
s6 -- highLevel/1 -> s6
s6 -- isStopped/1 -> s6
s6 -- isNotRunning/1 -> s6
s6 -- startCmd/1 -> s6
s6 -- receiveMsg/1 -> s6
s6 -- isReady/1 -> s6
s6 -- commandMsg/1 -> s6
s6 -- isNotReady/1 -> s6
s6 -- levelMsg/1 -> s6
s6 -- setRunning/1 -> s6
s6 -- isRunning/1 -> s6
s6 -- end/1 -> s6
s6 -- pumpStart/1 -> s6
s7 -- setReady/1 -> s7
s7 -- highLevel/1 -> s7
s7 -- isStopped/1 -> s7
s7 -- isNotRunning/1 -> s7
s7 -- startCmd/1 -> s7
s7 -- receiveMsg/1 -> s7
s7 -- isReady/1 -> s7
s7 -- commandMsg/1 -> s7
s7 -- isNotReady/1 -> s7
s7 -- levelMsg/1 -> s7
s7 -- setRunning/1 -> s7
s7 -- isRunning/1 -> s7
s7 -- end/0 -> s0
s7 -- pumpStart/1 -> s7
s8 -- setReady/0 -> s9
s8 -- highLevel/1 -> s8
s8 -- isStopped/1 -> s8
s8 -- isNotRunning/1 -> s8
s8 -- startCmd/1 -> s8
s8 -- receiveMsg/1 -> s8
s8 -- isReady/1 -> s8
s8 -- commandMsg/1 -> s8
s8 -- isNotReady/1 -> s8
s8 -- levelMsg/1 -> s8
s8 -- setRunning/1 -> s8
s8 -- isRunning/1 -> s8
s8 -- end/1 -> s8
s8 -- pumpStart/1 -> s8
s9 -- setReady/1 -> s9
s9 -- highLevel/1 -> s9
s9 -- isStopped/1 -> s9
s9 -- isNotRunning/1 -> s9
s9 -- startCmd/1 -> s9
s9 -- receiveMsg/1 -> s9
s9 -- isReady/0 -> s10
s9 -- commandMsg/1 -> s9
s9 -- isNotReady/0 -> s7
s9 -- levelMsg/1 -> s9
s9 -- setRunning/1 -> s9
s9 -- isRunning/1 -> s9
s9 -- end/1 -> s9
s9 -- pumpStart/1 -> s9
s10 -- setReady/1 -> s10
s10 -- highLevel/1 -> s10
s10 -- isStopped/1 -> s10
s10 -- isNotRunning/1 -> s10
s10 -- startCmd/1 -> s10
s10 -- receiveMsg/1 -> s10
s10 -- isReady/1 -> s10
s10 -- commandMsg/1 -> s10
s10 -- isNotReady/1 -> s10
s10 -- levelMsg/1 -> s10
s10 -- setRunning/1 -> s10
s10 -- isRunning/1 -> s10
s10 -- end/1 -> s10
s10 -- pumpStart/0 -> s11
s11 -- setReady/1 -> s11
s11 -- highLevel/1 -> s11
s11 -- isStopped/1 -> s11
s11 -- isNotRunning/1 -> s11
s11 -- startCmd/1 -> s11
s11 -- receiveMsg/1 -> s11
s11 -- isReady/1 -> s11
s11 -- commandMsg/1 -> s11
s11 -- isNotReady/1 -> s11
s11 -- levelMsg/1 -> s11
s11 -- setRunning/0 -> s7
s11 -- isRunning/1 -> s11
s11 -- end/1 -> s11
s11 -- pumpStart/1 -> s11
